Source_List,Nombre_JP,Nombre_ENG,Atributo,G-Power,Size,Weight,Rareza,URL
MechtaniumSurge,若ｃ鴻祉鴻帥,Ventus Roxtor,Ventus,940G,32mm,13.5g,7.0,http://bakucolle.com/archives/29411775.html
MechtaniumSurge,鴻帥,Roxtor,Subterra,1020G,32mm,,6.0,http://bakucolle.com/archives/6644886.html
MechtaniumSurge,若潟祉鴻帥,Darkus Roxtor,Darkus,1100G,32mm,13.5g,7.0,http://bakucolle.com/archives/8966422.html
MechtaniumSurge,若潟祉鴻帥,Darkus Roxtor,Darkus,940G,32mm,13.5g,7.0,http://bakucolle.com/archives/29411889.html
MechtaniumSurge,若潟祉鴻帥,Darkus Roxtor,Darkus,1030G,32mm,13.5g,8.0,http://bakucolle.com/archives/14733785.html
MechtaniumSurge,眼＜祉帥潟,Pyrus Betakor,Pyrus,Unknown,,27.5g,7.0,http://bakucolle.com/archives/29411879.html
MechtaniumSurge,眼＜祉帥潟,Pyrus Betakor,Pyrus,Unknown,,27.5g,7.0,http://bakucolle.com/archives/29411872.html
MechtaniumSurge,≪≪祉帥潟,Aquos Betakor,Aquos,Unknown,,27.5g,7.0,http://bakucolle.com/archives/8863963.html
MechtaniumSurge,若ｃ鴻祉帥潟,Ventsu Betakor,Ventus,Unknown,,27.5g,7.0,http://bakucolle.com/archives/29411799.html
MechtaniumSurge,若潟祉帥潟,Darkus Betakor,Darkus,Unknown,,27.5g,7.0,http://bakucolle.com/archives/12682665.html
MechtaniumSurge,若潟祉帥潟,Darkus Betakor,Darkus,Unknown,,27.5g,7.0,http://bakucolle.com/archives/29411897.html
MechtaniumSurge,сゃ吟,Taylean,Ventus,540G,32mm,15.5g,7.0,http://bakucolle.com/archives/15832356.html
MechtaniumSurge,泣祉сゃ吟,Subterra Taylean,Subterra,580G,32mm,15.5g,7.0,http://bakucolle.com/archives/11560899.html
MechtaniumSurge,сゃ吟,Taylean,Pyrus,690G/870G,32mm,15.5g/19.0g,6.0,http://bakucolle.com/archives/8597255.html
MechtaniumSurge,≪≪祉сゃ吟,Aquos Taylean,Aquos,760G,32mm,19.5g,6.0,http://bakucolle.com/archives/8597207.html
MechtaniumSurge,若ｃ鴻祉сゃ吟,Ventus Taylean,Ventus,770G/850G,32mm,20.0g,7.0,http://bakucolle.com/archives/26571790.html
MechtaniumSurge,сゃ吟,Taylean,Darkus,Unknown,32mm,19.5g,6.0,http://bakucolle.com/archives/8597271.html
MechtaniumSurge,眼＜祉ャ若帥潟祉сゃ吟,Pyrus Mutant Taylean,Pyrus,960G+(200G/130G),32mm,14.0g,6.0,http://bakucolle.com/archives/29411619.html
MechtaniumSurge,≪≪祉ャ若帥潟祉сゃ吟,Aquos Mutant Taylean,Aquos,800G+(200G/150G)860G+(200G/150G),32mm,14.5g,6.0,http://bakucolle.com/archives/8864094.html
MechtaniumSurge,≪≪祉ャ若帥潟祉сゃ吟,Aquos Mutant Taylean,Aquos,760G(160G+190G),32mm,14.5g,8.0,http://bakucolle.com/archives/27844656.html
MechtaniumSurge,若ｃ鴻祉ャ若帥潟祉сゃ吟,Ventus Mutant Taylean,Ventus,750G(200G+140G)750G(210G+150G),32mm,14.0g,7.0,http://bakucolle.com/archives/8913235.html
MechtaniumSurge,泣祉ャ若帥潟祉сゃ吟,Subterra Mutant Taylean,Subterra,660G+(230G/130G)710G+(210G/170G),32mm,14.5g,6.0,http://bakucolle.com/archives/25147821.html
MechtaniumSurge,祉ャ若帥潟祉сゃ吟,Haos Mutant Taylean,Haos,720G+(180G/140G),32mm,14.0g,6.0,http://bakucolle.com/archives/29411628.html
MechtaniumSurge,若潟祉ャ若帥潟祉сゃ吟,Darkus Mutant Taylean,Darkus,700G+(210G/170G)730G+(180G/150G),32mm,14.0g,6.0,http://bakucolle.com/archives/11560829.html
MechtaniumSurge,莊(若),激сゃ,Haos,580G,32mm,15.5g,2.0,http://bakucolle.com/archives/7618290.html
MechtaniumSurge,眼＜肢軍激сゃ(),Pyrus Jaakor,Pyrus,950G,32mm,16.0g,7.0,http://bakucolle.com/archives/8794045.html
MechtaniumSurge,眼＜肢軍激сゃ(),Pyrus Jaakor,Pyrus,1000G,32mm,16.0g,7.0,http://bakucolle.com/archives/8794156.html
MechtaniumSurge,≪≪肢軍激сゃ(),Aquos Jaakor,Aquos,910G,32mm,16.0g,7.0,http://bakucolle.com/archives/8865411.html
MechtaniumSurge,莊潟激сゃ(),Jaakor,Aquos,1010G,32mm,16.0g,7.0,http://bakucolle.com/archives/6645128.html
MechtaniumSurge,≪≪肢軍激сゃ(),Aquos Jaakor,Aquos,820G/910G,32mm,16.0g,7.0,http://bakucolle.com/archives/12682915.html
MechtaniumSurge,若ｃ鴻肢軍激сゃ(),Ventus Jaakor,Ventus,940G,32mm,16.0g,7.0,http://bakucolle.com/archives/8916779.html
MechtaniumSurge,泣肢軍激сゃ(),Subterra Jaakor,Subterra,880G,32mm,16.0g,7.0,http://bakucolle.com/archives/29411939.html
MechtaniumSurge,泣肢軍激сゃ(),Subterra Jaakor,Subterra,1010G,32mm,16.0g,7.0,http://bakucolle.com/archives/6645173.html
MechtaniumSurge,泣肢軍激сゃ(),Subterra Jaakor,Subterra,880G,32mm,16.0g,7.0,http://bakucolle.com/archives/27640777.html
MechtaniumSurge,肢軍激сゃ(),Haos Jaakor,Haos,Unknown,32mm,16.0g,7.0,http://bakucolle.com/archives/21639709.html
MechtaniumSurge,肢軍激сゃ(),Haos Jaakor,Haos,930G,32mm,16.0g,7.0,http://bakucolle.com/archives/27640781.html
MechtaniumSurge,若潟肢軍激сゃ(),Darkus Jaakor,Darkus,Unknown,32mm,16.0g,7.0,http://bakucolle.com/archives/8979070.html
MechtaniumSurge,≪≪脂若,Aquos Skytress,Aquos,Unknown,32mm,,7.0,http://bakucolle.com/archives/25054503.html
MechtaniumSurge,(),,Ventus,580G,32mm,15.0g,2.0,http://bakucolle.com/archives/7618169.html
MechtaniumSurge,眼＜脂若,Pyrus Skytress,Pyrus,930G,32mm,15.0g,7.0,http://bakucolle.com/archives/8794514.html
MechtaniumSurge,≪≪脂若,Aquos Skytress,Aquos,920G,32mm,15.0g,7.0,http://bakucolle.com/archives/8864587.html
MechtaniumSurge,(),Skytruss,Ventus,1020G,32mm,15.0g,7.0,http://bakucolle.com/archives/6644699.html
MechtaniumSurge,脂若,Haos Skytress,Haos,Unknown,32mm,15.0g,8.0,http://bakucolle.com/archives/9007986.html
MechtaniumSurge,脂(),Haos Skytruss,Haos,1030G,32mm,15.0g,7.0,http://bakucolle.com/archives/13240727.html
MechtaniumSurge,若潟脂若,Darkus Skytress,Darkus,930G,32mm,15.0g,7.0,http://bakucolle.com/archives/8967067.html
MechtaniumSurge,(),Skytruss,Darkus,1010G,32mm,15.0g,7.0,http://bakucolle.com/archives/6644827.html
MechtaniumSurge,若潟脂若,Darkus Skytress,Darkus,930G,32mm,15.0g,7.0,http://bakucolle.com/archives/29648792.html
MechtaniumSurge,眼＜紫(),Pyrus Orbeum,Pyrus,900G,32mm,17.0g,8.0,http://bakucolle.com/archives/12899435.html
MechtaniumSurge,眼＜紫(),Pyrus Orbeum,Pyrus,900G,32mm,17.0g,8.0,http://bakucolle.com/archives/22703136.html
MechtaniumSurge,若ｃ鴻紫(),Ventus Orbeum,Ventus,1040G,32mm,17.0g,8.0,http://bakucolle.com/archives/29648606.html
MechtaniumSurge,若潟紫(),Darkus Orbeum,Darkus,910G,32mm,17.0g,8.0,http://bakucolle.com/archives/8967020.html
MechtaniumSurge,眼＜祉違ャ若,Pyrus Magmafury,Pyrus,Unknown,32mm,48.0g,7.0,http://bakucolle.com/archives/12900442.html
MechtaniumSurge,違ャ若,Magmafury,Ventus,Unknown,32mm,48.0g,7.0,http://bakucolle.com/archives/8967381.html
MechtaniumSurge,泣祉≪違,Subterra Boulderon,Subterra,Unknown,32mm,g,9.0,http://bakucolle.com/archives/25044724.html
MechtaniumSurge,眼＜祉≪違,Pyrus Boulderon,Pyrus,600G-700G-800G-950G-1000G-1150G,32mm,20.0g,7.0,http://bakucolle.com/archives/8792867.html
MechtaniumSurge,鴻ゃ,Spyron,Pyrus,Unknown,,,,http://bakucolle.com/archives/7160130.html
MechtaniumSurge,≪≪祉≪違,Aquos Boulderon,Aquos,600G-650G-700G-800G-950G-1000G,32mm,20.5g,7.0,http://bakucolle.com/archives/22732616.html
MechtaniumSurge,≪≪祉≪違,Aquos Boulderon,Aquos,600G/650G/700G/800G/950G/1000G,32mm,14.0g,7.0,http://bakucolle.com/archives/14733310.html
MechtaniumSurge,祉≪鴻,Haos Wolfurio,Haos,540G,32mm,17.0g,8.0,http://bakucolle.com/archives/18722107.html
MechtaniumSurge,若潟祉≪鴻,Darkus Wolfurio,Darkus,Unknown,32mm,g,8.0,http://bakucolle.com/archives/25054220.html
MechtaniumSurge,≪鴻,Wolfurio,Pyrus,810G,32mm,24.5g,7.0,http://bakucolle.com/archives/8792409.html
MechtaniumSurge,眼＜祉≪鴻,Pyrus Wolfurio,Pyrus,810G,32mm,17.0g,7.0,http://bakucolle.com/archives/29412123.html
MechtaniumSurge,≪≪祉≪鴻,Aquos Wolfurio,Aquos,700G/790G,32mm,24.5g,7.0,http://bakucolle.com/archives/13241165.html
MechtaniumSurge,泣祉ゃ潟ｃｃ祉,Subterra Infinity Helios,Subterra,Unknown,32mm,g,8.0,http://bakucolle.com/archives/25054231.html
MechtaniumSurge,若潟祉ゃ潟ｃｃ祉,Darkus Infinity Helios,Darkus,Unknown,32mm,g,8.0,http://bakucolle.com/archives/25045147.html
MechtaniumSurge,眼＜祉ゃ潟ｃｃ祉,Pyrus Infinity Helios,Pyrus,(650G-700G-750G-900G-950G-1150G),32mm,17.5g,7.0,http://bakucolle.com/archives/11503968.html
MechtaniumSurge,≪≪祉ゃ潟ｃｃ祉,Aquos Infinity Helios,Aquos,(700G-750G-800G-1000G-1050G-1200),32mm,17.5g,7.0,http://bakucolle.com/archives/8864314.html
MechtaniumSurge,若ｃ鴻祉ゃ潟ｃｃ祉,Ventus Infinity Helios,Ventus,(650G-700G-800G-900G-900G-950G),32mm,17.5g,7.0,http://bakucolle.com/archives/11503996.html
MechtaniumSurge,祉ゃ潟ｃｃ祉,Haso Infinity Helios,Haos,(550G-700G-800G-900G-1100G-1100G),32mm,17.5g,7.0,http://bakucolle.com/archives/11504054.html
MechtaniumSurge,若潟祉ゃ潟ｃｃ祉,Darkus Infinity Helios,Darkus,(750G-800G-850G-900G-1000G-1150G),32mm,17.5g,8.0,http://bakucolle.com/archives/11561046.html
MechtaniumSurge,眼＜祉ャ若帥潟祉,Pyrus Mutant Helios,Pyrus,740G+(200G/160G),32mm,18.0(5.5g+12.5g),8.0,http://bakucolle.com/archives/13241302.html
MechtaniumSurge,≪≪祉ャ若帥潟祉,Aquos Mutant Helios,Aquos,Unknown,32mm,18.0(5.5g+12.5g),7.0,http://bakucolle.com/archives/25042518.html
MechtaniumSurge,若ｃ鴻祉ャ若帥潟祉,Ventus Mutant Helios,Ventus,630G+(200G/160G),32mm,18.0(5.5g+12.5g),7.0,http://bakucolle.com/archives/12683267.html
MechtaniumSurge,若ｃ鴻祉ャ若帥潟祉,Ventus Mutant Helios,Ventus,900G+(120G/140G)850G+(?/?),32mm,18.0(5.5g+12.5g),7.0,http://bakucolle.com/archives/25026640.html
MechtaniumSurge,祉ャ若帥潟祉,Haos Mutant Helios,Haos,Unknown,32mm,18.0g,7.0,http://bakucolle.com/archives/29648533.html
MechtaniumSurge,≪≪祉≪,Aquos Aerogan,Aquos,850G,32mm,16.5g,5.0,http://bakucolle.com/archives/8865177.html
MechtaniumSurge,若潟祉ゃ冴,Darkus Razenoid,Darkus,(380G-440G-500G-560G-620G-680G),32mm,14.5g,7.0,http://bakucolle.com/archives/19419659.html
MechtaniumSurge,若潟祉ゃ冴,Darkus Razenoid,Darkus,(380G-440G-500G-560G-620G-680G),32mm,15.5g,10.0,http://bakucolle.com/archives/11562138.html
MechtaniumSurge,≪≪祉ゃ冴,Aquos Razenoid,Aquos,(500G-700G-800G-1100G),32mm,14.5g,7.0,http://bakucolle.com/archives/22732658.html
MechtaniumSurge,若ｃ鴻祉ゃ冴,Ventus Razenoid,Ventus,(700G-750G-800G-900G),32mm,25.5g,7.0,http://bakucolle.com/archives/8912983.html
MechtaniumSurge,泣祉ゃ冴,Subterra Razenoid,Subterra,(750G-850G-900G-1000),32mm,25.5g,7.0,http://bakucolle.com/archives/8872247.html
MechtaniumSurge,祉ゃ冴,Haos Razenoid,Haos,(500G-800G-850G-900G)(750G-800G-850G-950G),32mm,25.0g15.0g,7.0,http://bakucolle.com/archives/9007296.html
MechtaniumSurge,若潟祉ゃ冴,Darkus Razenoid,Darkus,(600G-700G-850G-950G),32mm,25.0g15.0g,7.0,http://bakucolle.com/archives/8966356.html
MechtaniumSurge,若ｃ鴻祉宴,Ventus Horridian,Ventus,560G,32mm,15.5g,7.0,http://bakucolle.com/archives/11561001.html
MechtaniumSurge,若ｃ鴻祉宴,Ventus Horridian,Ventus,900G,32mm,24.5g,7.0,http://bakucolle.com/archives/29411711.html
MechtaniumSurge,若ｃ鴻祉宴,Ventus Horridian,Ventus,800G,32mm,15.5g,7.0,http://bakucolle.com/archives/12681646.html
MechtaniumSurge,祉宴,Haos Horridian,Haos,830G,32mm,24.5g,7.0,http://bakucolle.com/archives/29411715.html
MechtaniumSurge,祉宴,Haos Horridian,Haos,830G,32mm,15.5g,7.0,http://bakucolle.com/archives/12681571.html
MechtaniumSurge,宴,Horridian,Haos,Unknown,,,,http://bakucolle.com/archives/6809471.html
MechtaniumSurge,,Bolcanon,Pyrus,540G,32mm,g,7.0,http://bakucolle.com/archives/25752152.html
MechtaniumSurge,≪≪祉,Aquos Bolcanon,Aquos,Unknown,32mm,g,7.0,http://bakucolle.com/archives/25054285.html
MechtaniumSurge,若ｃ鴻祉,Ventus Bolcanon,Ventus,Unknown,32mm,20.0g,6.0,http://bakucolle.com/archives/25713637.html
MechtaniumSurge,,Bolcanon,Subterra,930G,32mm,20.0g,5.0,http://bakucolle.com/archives/8597497.html
MechtaniumSurge,祉,Haos Bolcanon,Haos,940G,32mm,16.5g,7.0,http://bakucolle.com/archives/9006717.html
MechtaniumSurge,若潟祉,Darkus Bolcanon,Darkus,820G,32mm,20.5g,6.0,http://bakucolle.com/archives/8965987.html
MechtaniumSurge,眼＜祉鴻ゃ,Pyrus Krakenoid,Pyrus,870G,32mm,15.5g,7.0,http://bakucolle.com/archives/12683061.html
MechtaniumSurge,眼＜祉鴻ゃ,Pyrus Krakenoid,Pyrus,870G,32mm,12.5g,7.0,http://bakucolle.com/archives/11561180.html
MechtaniumSurge,若ｃ鴻祉鴻ゃ,Ventsu Krakenoid,Ventus,820G,32mm,15.5g,7.0,http://bakucolle.com/archives/27561411.html
MechtaniumSurge,泣祉鴻ゃ,Subterra Krakenoid,Subterra,800G/920G,32mm,15.5g,7.0,http://bakucolle.com/archives/8872056.html
MechtaniumSurge,祉鴻ゃ,Haos Krakenoid,Haos,850G,32mm,12.5g,7.0,http://bakucolle.com/archives/9007450.html
MechtaniumSurge,眼＜祉ャ若帥潟祉鴻ゃ,Pyrus Mutant Krakenoid,Pyrus,610G+(210G/100G),32mm,17.5g(4.5g+13.0g),7.0,http://bakucolle.com/archives/12683195.html
MechtaniumSurge,ャ若帥潟 祉鴻ゃ,Mutant Krakenoid,Pyrus,900G150G110G,32mm,,6.0,http://bakucolle.com/archives/6644776.html
MechtaniumSurge,≪≪祉ャ若帥潟祉鴻ゃ,Aquos Mutant Krakenoid,Aquos,Unknown,32mm,17.5g(4.5g+13.0g),7.0,http://bakucolle.com/archives/25042611.html
MechtaniumSurge,ャ若帥潟 祉鴻ゃ,Mutant Krakenoid,Haos,900G+(150G/110G),32mm,13.5g(4.5g+9.0g),6.0,http://bakucolle.com/archives/6578864.html
MechtaniumSurge,若ｃ鴻祉鴻ゃ,Ventus Spyron,Ventus,Unknown,32mm,g,7.0,http://bakucolle.com/archives/25044850.html
MechtaniumSurge,若潟祉鴻ゃ,Darkus Spyron,Darkus,Unknown,32mm,g,7.0,http://bakucolle.com/archives/25045135.html
MechtaniumSurge,眼＜祉鴻ゃ,Pyrus Spyron,Pyrus,820G,32mm,18.0g,7.0,http://bakucolle.com/archives/14734137.html
MechtaniumSurge,鴻ゃ,SPYRON,Pyrus,1000G/1020G,32mm,13.0g,7.0,http://bakucolle.com/archives/6645196.html
MechtaniumSurge,鴻ゃ,Spyron,Aquos,Unknown,,,,http://bakucolle.com/archives/6809608.html
MechtaniumSurge,若ｃ鴻祉鴻ゃ,Ventus Spyron,Ventus,560G/830G,32mm,18.0g,8.0,http://bakucolle.com/archives/8913346.html
MechtaniumSurge,若潟祉鴻ゃ,Darkus Spyron,Darkus,950G,32mm,18.0g,7.0,http://bakucolle.com/archives/12682750.html
MechtaniumSurge,若潟祉鴻ゃ,Darkus SPYRON,Darkus,1000G/1020G,32mm,13.0g,7.0,http://bakucolle.com/archives/14733862.html
MechtaniumSurge,眼＜祉眼＜若,Pyrus Vertexx,Pyrus,1050G,32mm,15.5g,7.0,http://bakucolle.com/archives/8793722.html
MechtaniumSurge,祉眼＜若,Haos Vertexx,Haos,850G,32mm,15.5g,7.0,http://bakucolle.com/archives/29411739.html
MechtaniumSurge,若潟祉眼＜若,Darkus Vertexx,Darkus,820G/950G,32mm,24.0g,7.0,http://bakucolle.com/archives/25026722.html
MechtaniumSurge,眼＜若,Vertexx,Darkus,810G,32mm,15.0g,7.0,http://bakucolle.com/archives/8597698.html
MechtaniumSurge,眼＜祉鴻,Pyrus Krowll,Pyrus,Unknown,32mm,g,8.0,http://bakucolle.com/archives/25042542.html
MechtaniumSurge,眼＜祉鴻,Pyrus Krowll,Pyrus,800G,32mm,14.0g,8.0,http://bakucolle.com/archives/8793059.html
MechtaniumSurge,≪≪祉鴻,Aquos Krowll,Aquos,920G,32mm,14.0g,8.0,http://bakucolle.com/archives/13241080.html
MechtaniumSurge,若ｃ鴻祉鴻,Ventus Krowll,Ventus,960G,32mm,17.0g,8.0,http://bakucolle.com/archives/8913430.html
MechtaniumSurge,眼＜祉ャ若帥潟祉鴻,Pyrus Mutant Krowll,Pyrus,730G,32mm,19.0g(5.5g+13.5g),8.0,http://bakucolle.com/archives/12898842.html
MechtaniumSurge,眼＜祉ャ若帥潟祉鴻,Pyrus Mutant Krowll,Pyrus,730G+(200G/140G),32mm,14.0g,8.0,http://bakucolle.com/archives/29412146.html
MechtaniumSurge,泣祉ャ若帥潟祉鴻,Subterra Mutant Krowll,Subterra,Unknown,32mm,19.0g(5.5g+13.5g),8.0,http://bakucolle.com/archives/25042547.html
MechtaniumSurge,泣祉ャ若帥潟祉鴻,Subterra Mutant Krowll,Subterra,480G+(160G/150G),32mm,14.0g,8.0,http://bakucolle.com/archives/29412179.html
MechtaniumSurge,眼＜祉泣ゃ潟祉若激,Pyrus Cyclone Percival,Pyrus,Unknown,32mm,22.0g,7.0,http://bakucolle.com/archives/22732371.html
MechtaniumSurge,≪≪祉泣ゃ潟祉若激,Aquos Cyclone Percival,Aquos,920G,32mm,14.5g,7.0,http://bakucolle.com/archives/22732424.html
MechtaniumSurge,若ｃ鴻祉泣ゃ潟祉若激,Ventus Cyclone Percival,Ventus,910G,32mm,14.5g,7.0,http://bakucolle.com/archives/22732441.html
MechtaniumSurge,祉泣ゃ潟祉若激,Haos Cyclone Percival,Haos,780G,32mm,22.0g,9.0,http://bakucolle.com/archives/22732504.html
MechtaniumSurge,祉泣ゃ潟祉若激,Haos Cyclone Percival,Haos,Unknown,32mm,14.5g,9.0,http://bakucolle.com/archives/22732534.html
MechtaniumSurge,若潟祉泣ゃ潟祉若激,Darkus Cyclone Percival,Darkus,770G/900G,32mm,14.5g22.0g,7.0,http://bakucolle.com/archives/8966037.html
MechtaniumSurge,若ｃ鴻祉激ャ祉ゃ潟違,Ventus Flash Ingram,Ventus,Unknown,32mm,,7.0,http://bakucolle.com/archives/25054338.html
MechtaniumSurge,激ャ祉ゃ潟違,Flash Ingram,Pyrus,920G,32mm,13.5g,6.0,http://bakucolle.com/archives/8792739.html
MechtaniumSurge,≪≪祉激ャ祉ゃ潟違,Aquos Flash Ingram,Aquos,Unknown,32mm,21.0g,7.0,http://bakucolle.com/archives/29411950.html
MechtaniumSurge,若ｃ鴻祉激ャ祉ゃ潟違,Ventus Flash Ingram,Ventus,800G/870G,32mm,13.5g21.0g,6.0,http://bakucolle.com/archives/8916607.html
MechtaniumSurge,若ｃ鴻祉激ャ祉ゃ潟違,Ventus Flash Ingram,Ventus,800G,32mm,13.5g,7.0,http://bakucolle.com/archives/22703392.html
MechtaniumSurge,祉激ャ祉ゃ潟違,Haos Flash Ingram,Haos,750G/830G,32mm,21.0g,7.0,http://bakucolle.com/archives/9007149.html
MechtaniumSurge,若潟祉激ャ祉ゃ潟違,Darkus Flash Ingram,Darkus,920G/980G,32mm,14.0g,6.0,http://bakucolle.com/archives/8966223.html
MechtaniumSurge,ャ若帥潟祉ｃ,Mutant Elfin,Pyrus,(700G/750G/800G/850G/900G/1000G)(700G/750G/800G/800G/850G/950G),32mm,14.0g,6.0,http://bakucolle.com/archives/8792589.html
MechtaniumSurge,ャ若帥潟祉ｃ,Mutant Elfin,Aquos,650G/800G/850G/950G/1000G/1150G,32mm,23.5g,7.0,http://bakucolle.com/archives/8597998.html
MechtaniumSurge,若ｃ鴻祉ャ若帥潟祉ｃ,Ventus Mutant Elfin,Ventus,(600G-700G-850G-850G-900G-1000G),32mm,14.0g,7.0,http://bakucolle.com/archives/8914407.html
MechtaniumSurge,祉ャ若帥潟祉ｃ,Haos Mutant Elfin,Haos,(600G-700G-750G-800G-850G-900G),32mm,14.0g/24.0g,7.0,http://bakucolle.com/archives/9006661.html
MechtaniumSurge,祉ャ若帥潟祉ｃ,Haos Mutant Elfin,Haos,600G-700G-750G-800G-850G-900G,32mm,13.5g,8.0,http://bakucolle.com/archives/27561462.html
MechtaniumSurge,若潟祉ャ若帥潟祉ｃ,Darkus Mutant Elfin,Darkus,(700G-750G-800G-850G-900G-1000G)(600G-650G-700G-850G-900G-1100G),32mm,14.0g24.0g,7.0,http://bakucolle.com/archives/8965792.html
MechtaniumSurge,眼＜祉帥,Pyrus Betadron,Pyrus,950G,32mm,14.5g,7.0,http://bakucolle.com/archives/8794274.html
MechtaniumSurge,眼＜祉帥,Pyrus Betadron,Pyrus,950G,32mm,15.0g,7.0,http://bakucolle.com/archives/11561854.html
MechtaniumSurge,若ｃ鴻祉帥,Ventus Betadron,Ventus,850G/970G,32mm,15.0g,7.0,http://bakucolle.com/archives/8916825.html
MechtaniumSurge,若潟祉帥,Darkus Betadron,Darkus,940G,32mm,15.0g,8.0,http://bakucolle.com/archives/25043019.html
MechtaniumSurge,若潟祉帥,Darkus Betadron,Darkus,950G,32mm,15.0g,7.0,http://bakucolle.com/archives/11561936.html
MechtaniumSurge,眼＜祉潟潟,Pyrus Kodokor,Pyrus,Unknown,32mm,14.0g,7.0,http://bakucolle.com/archives/21639839.html
MechtaniumSurge,眼＜祉潟潟,Pyrus Kodokor,Pyrus,930G,32mm,14.0g,7.0,http://bakucolle.com/archives/11561762.html
MechtaniumSurge,≪≪祉潟潟,Aquos Kodokor,Aquos,950G,32mm,14.0g,7.0,http://bakucolle.com/archives/8864693.html
MechtaniumSurge,≪≪祉潟潟,Aquos Kodokor,Aquos,950G,32mm,14.0g,7.0,http://bakucolle.com/archives/11561803.html
MechtaniumSurge,≪≪祉潟潟,Aquos Kodokor,Aquos,1000G/1020G,32mm,14.5g,8.0,http://bakucolle.com/archives/13241036.html
MechtaniumSurge,若ｃ鴻祉潟潟,Ventsu Kodokor,Ventus,950G,32mm,14.0g,7.0,http://bakucolle.com/archives/27640735.html
MechtaniumSurge,若ｃ鴻祉潟潟,Ventsu Kodokor,Ventus,Unknown,32mm,14.5g,8.0,http://bakucolle.com/archives/27640713.html
MechtaniumSurge,若ｃ鴻祉潟潟,Ventsu Kodokor,Ventus,1030G,32mm,14.0g,8.0,http://bakucolle.com/archives/29648824.html
MechtaniumSurge,泣祉潟潟,Subterra Kodokor,Subterra,990G,32mm,14.0g,7.0,http://bakucolle.com/archives/8872307.html
MechtaniumSurge,若潟祉潟潟,Darkus Kodokor,Darkus,880G,32mm,14.0g,8.0,http://bakucolle.com/archives/17382856.html
MechtaniumSurge,眼＜祉ャ帥,Pyrus Mutabrid,Pyrus,990G,32mm,13.0g,7.0,http://bakucolle.com/archives/8794589.html
MechtaniumSurge,眼＜祉ャ帥,Pyrus Mutabrid,Pyrus,1020G,32mm,13.0g,8.0,http://bakucolle.com/archives/17383605.html
MechtaniumSurge,≪≪祉ャ帥,Aquos Mutabrid,Aquos,930G,32mm,13.0g,7.0,http://bakucolle.com/archives/8864728.html
MechtaniumSurge,≪≪祉ャ帥,Aquos Mutabrid,Aquos,930G,32mm,13.0g,7.0,http://bakucolle.com/archives/9005909.html
MechtaniumSurge,若ｃ鴻祉ャ帥,Ventus Mutabrid,Ventus,920G,32mm,13.0g,7.0,http://bakucolle.com/archives/8916981.html
MechtaniumSurge,若ｃ鴻祉ャ帥,Ventus Mutabrid,Ventus,920G,32mm,13.0g,7.0,http://bakucolle.com/archives/8916883.html
MechtaniumSurge,眼＜祉若,Pyrus Worton,Pyrus,1020G,32mm,13.5g,9.0,http://bakucolle.com/archives/8793864.html
MechtaniumSurge,≪≪祉鴻,Aquos Balista,Aquos,970G/1020G,32mm,13.5g,9.0,http://bakucolle.com/archives/14733042.html
MechtaniumSurge,若ｃ鴻祉鴻,Ventus Balista,Ventus,850G,32mm,13.5g,9.0,http://bakucolle.com/archives/12899399.html
MechtaniumSurge,眼宴,Volkaos,Pyrus,Unknown,,27.0g,8.0,http://bakucolle.com/archives/12900394.html
MechtaniumSurge,泣祉鴻,Subterra Spatterix,Subterra,980G,32mm,13.5g,7.0,http://bakucolle.com/archives/12682841.html
MechtaniumSurge,祉鴻,Haos Spatterix,Haos,870G,32mm,13.5g,7.0,http://bakucolle.com/archives/29411994.html
MechtaniumSurge,若潟祉鴻,Darkus Spatterix,Darkus,820G,32mm,13.5g,7.0,http://bakucolle.com/archives/8966565.html
MechtaniumSurge,若潟祉鴻,Darkus Spatterix,Darkus,820G,32mm,13.5g,7.0,http://bakucolle.com/archives/10873791.html
MechtaniumSurge,眼＜祉鴻潟,Pyrus Stronk,Pyrus,870G,32mm,13.5g,7.0,http://bakucolle.com/archives/8793202.html
MechtaniumSurge,若ｃ鴻祉鴻潟,Ventus Stronk,Ventus,880G/970G,32mm,13.5g,7.0,http://bakucolle.com/archives/13241375.html
MechtaniumSurge,祉鴻潟,Haos Stronk,Haos,920G,32mm,13.5g,7.0,http://bakucolle.com/archives/29411985.html
MechtaniumSurge,若潟祉鴻潟,Darkus Stronk,Darkus,870G,32mm,13.5g,7.0,http://bakucolle.com/archives/8966622.html
MechtaniumSurge,若潟祉鴻潟,Darkus Stronk,Darkus,870G,32mm,13.5g,7.0,http://bakucolle.com/archives/10873897.html
MechtaniumSurge,祉鴻潟若帥,Haos Scorptak,Haos,Unknown,32mm,27.0g,7.0,http://bakucolle.com/archives/29412033.html
MechtaniumSurge,若潟祉鴻潟若帥,Darkus Scorptak,Darkus,820G+870G,32mm,27.0g,7.0,http://bakucolle.com/archives/8966880.html
MechtaniumSurge,若潟祉鴻潟若帥,Darkus Scorptak,Darkus,Unknown,32mm,27.0g,7.0,http://bakucolle.com/archives/29412035.html
MechtaniumSurge,眼＜祉潟,Pyrus Tremblar,Pyrus,900G+(100G),32mm,15.0g(10.5g/4.5g),8.0,http://bakucolle.com/archives/25026541.html
